Refeicao,Alimento,Quantidade
Cafe da manha,"Pao, trigo, forma, integral",100.0
Cafe da manha,"Geleia, mocoto, natural",20.0
Cafe da manha,"Manteiga, com sal",10.0
Cafe da manha,"Cafe, infusao 10pp",15.0
Cafe da manha,"Ovo, de galinha, inteiro, frito",100.0
Lanche da manha,"Melao, cru",50.0
Lanche da manha,"Banana, prata, crua",100.0
Lanche da manha,"Aveia, flocos, crua",30.0
Lanche da manha,Whey protein (70pp),30.0
Almoco,"Arroz, integral, cozido",120.0
Almoco,"Carne, bovina, contra-file, com gordura, grelhado",150.0
Almoco,"Cenoura, cozida",50.0
Almoco,"Batata, inglesa, cozida",50.0
Almoco,"Abobora, cabotian, cozida",50.0
Lanche da tarde,"Iogurte, natural",100.0
Lanche da tarde,"Aveia, flocos, crua",30.0
Pos-treino,Whey protein (70pp),30.0
Jantar,"Frango, peito, sem pele, cozido",150.0
Jantar,"Arroz, integral, cozido",100.0
Lanche da noite,"Maca, Fuji, com casca, crua",100.0
Lanche da noite,"Cha, erva-doce, infusao 5pp",10.0
