semana,data,peso,var,gordura_corporal,gordura_visceral,musculos_esqueleticos,cintura,peito,braco,coxa
1,01/01/2025,105.0,12.799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11/05/2025,102.8,-2.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,27/05/2025,101.0,-1.7999999999999972,31.9,13.0,32.9,0.0,0.0,0.0,0.0
4,09/06/2025,99.6,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11/06/2025,98.6,-2.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17/06/2025,98.3,-0.2999999999999971,0.0,0.0,0.0,109.5,109.5,44.0,71.0
7,24/06/2025,97.6,-0.7000000000000028,0.0,0.0,0.0,105.0,106.5,41.5,70.0
8,01/07/2025,96.7,-0.8999999999999915,0.0,0.0,0.0,105.0,111.0,41.5,69.5
9,08/07/2025,96.0,-0.7000000000000028,0.0,0.0,0.0,105.5,108.5,41.5,68.0
10,15/07/2025,95.9,-0.0999999999999943,0.0,0.0,0.0,105.5,108.5,41.5,68.0
11,22/07/2025,95.6,-0.3000000000000113,0.0,0.0,0.0,104.0,108.0,43.0,68.0
12,29/07/2025,94.3,-1.2999999999999972,0.0,0.0,0.0,103.0,111.0,42.0,68.0
13,07/08/2025,93.0,-1.2999999999999972,0.0,0.0,0.0,101.5,108.0,42.0,67.0
14,26/08/2025,92.2,-0.7999999999999972,0.0,0.0,0.0,101.0,106.5,41.0,66.5
15,09/09/2025,91.6,-0.6,0.0,0.0,0.0,103.5,109.5,40.5,66.5
16,18/09/2025,90.6,-1.0,0.0,0.0,0.0,103.0,105.5,41.0,67.0
